TIMESTAMP,ContextTokens,GeneratedTokens
2023-11-16 18:15:46.6805900,374,44
2023-11-16 18:15:50.9951690,396,109
2023-11-16 18:15:51.2224670,879,55
2023-11-16 18:15:51.3910170,91,16
2023-11-16 18:15:52.5732450,91,16
2023-11-16 18:15:52.9921190,381,84
2023-11-16 18:15:54.4260870,1313,142
2023-11-16 18:15:54.9320210,388,84
2023-11-16 18:15:55.0176690,242,14
2023-11-16 18:15:55.1455750,209,152
2023-11-16 18:15:55.3808030,394,124
2023-11-16 18:15:56.1080580,394,59
2023-11-16 18:15:56.2631480,1315,174
2023-11-16 18:15:56.7869690,2221,15
2023-11-16 18:15:57.2267160,389,90
2023-11-16 18:15:57.8385010,415,106
2023-11-16 18:15:58.1114940,120,12
2023-11-16 18:15:58.5172230,369,74
2023-11-16 18:15:59.5671350,206,162
2023-11-16 18:15:59.7056780,1353,142
